autor,calificacion,contenido,hotel,titulo
AAHN,50,"The Purple Onion is a real favorite! Great food, atmosphere, music and wines- what is not to like? A bog advantage is also the consistency- whether dropping in ,...",Purple Onion,Top Notch food in a sweet little town
AAHN,50,"Well worth a stop- when anyone visits our area, this is always on our list. The sweet little path  winds through lovely forest to the falls-which are spectacula,...",Pearson's Falls Glen,A local must see! Beautiful and easy access..
AAHN,50,"So much more than a bake shop, Wildflour has great food and yummy bread and sweets. You will never want a sticky bun from any place else! the cheese bread is al,...",Wildflour Bakery,The best raisin bread and sticky bums I have ever had!
AAHN,20,"Disappointed- not for us. The food is mostly fried, the service is really slow and the place smelled funky. The fresh oysters were good. we ate those and left a,...",Great Bay Oyster House,Slow service and mostly fried food
Robert R,20,"Believe the negative reviews,.. but hotel is convenient to Lincoln Center and the staff does their best but the place is astonishingly inadequate and overpriced,...",The Empire Hotel,"Believe the negative reviews,.."
NYCwannabe,50,"Clean, comfy rooms. Perfect location close to theatres, Central Park and my friend's home on 57th. Beautiful rooftop bar, fantastic restaurant, Serafina, right ,...",Dream Midtown,My NYC home!
calimerox,50,"This place is fabulous, we were let down by another hotel and turned up at 5pm, 10 minutes later we had 3 rooms on the 21st floor looking out to the Empire Stat,...",Hilton Garden Inn New York West 35th Street,10 out of 10
calimerox,10,"We booked 3 rooms for 4 nights with Booking.com, when we arrived the rooms we were given on the 4th floor looked nothing like the rooms depicted on any website.,...",The Herald 8 by LuxUrban,"Checked in, checked out"
calimerox,,"We are at the corner of W.35th and 6th Avenue, walking isn't a problem",New York,
calimerox,,"Thanks, how long does it take to walk the bridge and then on to 9/11",New York,
calimerox,,"We have booked 9/11 museum for a 1.30pm visit. In the morning we plan to walk back over the Brooklyn Bridge and grab a coffee before 9/11. what is the easiest w,...",New York,
calimerox,,"We are 5 adults coming over in early February for a 4 day visit. do we still have to book in advance for the major tourist things like The Edge, Statue of Liber,...",New York City,
calimerox,,is that direct from the airport ? we are here for the Christmas markets for 3 days in December,Munich,
calimerox,,what is the best way to get to a hotel near the Marienplatz from the airport. we are arriving about 6pm.,Munich,
calimerox,40,"This hotel is in a great location, steps from the beach. It is spotless and the staff are great, the rooms are very modern with fridge, tea/coffee making facili,...",Hotel Son Matias Beach,"Great Hotel , But !!!"
calimerox,,"Thanks for replies, will take train to main station then taxi to hotel",Berlin,
calimerox,,"We are staying at the PULLMAN Berlin Schweizerhof , what is the best way to get there from the airort",Berlin,
calimerox,,"Are the Christmas markets going to be fully open this year, we are travelling in from Scotland in early December and really looking forward to them 🤔",Munich,
calimerox,,"Staying in Volounteer street for 3 days, looking for 24 hour parking for 3 days. NCP is very expensive,(£51)Any suggestions, ?Don’t mind a walk if it is cheap,...",Chester,
calimerox,20,"Popped in for coffee and cakes.Ordered 2 flat Whites and two fruit scones, coffee arrived spilt over the saucers and lukewarmScones arrived and they were bric,...",GG's Coffee Shop & Sports Lounge,Awful
calimerox,,"Planning a 2 night stopover in Dubai, where is the best area to stay so that we are close to touristy things????",Dubai,
calimerox,,"Thanks, we were looking at Rendevous hotel or Swissotel the stamford",Singapore,
calimerox,,"We are cruising if February and are planning a 3 night stay after the cruise. Where is the best area to stay in to enjoy all that Singapore has to offer, the Or,...",Singapore,
calimerox,40,"We stayed here last year and decided to come back for a weekSome thing have changed eg tea making facilities in the room, but there is no nearby plug to connec,...",AP Maria Nova Lounge Hotel,Not quite
calimerox,50,"We have just returned from a 3 night stay and we had a wonderful time in the Spindrift. The new owners Mark and Jen are doing a superb job in welcoming guests. ,...",Spindrift Guesthouse,superb
calimerox,50,"We stayed for 5 nights in early August and thought this hotel was excellent. it is located at the top of a hill, hence the great views from poolside rooms and t,...",AP Maria Nova Lounge Hotel,almost perfect
John S,40,"I normally don't go to a new restaurant within the first few weeks of opening as it normally takes them some time to work the kinks out. I didn't realize when w,...",Irene's,Great addition to the CoMo dining scene!
John S,10,"I would consider myself a local Columbia foodie.  We eat dinner out at least 6 nights a week and always look forward to trying new restaurants.  Went here for d,...",El Rey Cocina Y Cantina,Possibly the worst service I have had in Columbia
John S,40,"I was staying at the NH Hotel on a recent business trip to NYC.  Serafina is in the same building as the hotel and connected through the lobby.  Went her for di,...",Serafina,Great food!
John S,50,"We discovered Pizza Underground a few months ago and it is now one of our favorite pizza restaurants.  We live in Columbia and don't mind the 30 min drive to Je,...",Pizza Underground,Worth the drive from Columbia!
John S,50,"I visit NYC regularly and try to see a Broadway show a few times a year.  Lots of options in the area but not all are great.  Glad I found Victor's Cafe on my l,...",Victor's Cafe,Great option for pre-theatre dinner
John S,40,"I lived in NYC for year and was always surprised that the Mexican food there was not great considering the Mexican population.  That was years ago though and th,...",Sinigual,Mexican is finally good in NYC!
John S,,,La Pecora Bianca,
John S,50,"I flew into NYC and was not able to check into my hotel room yet so walked around the neighborhood to find a place for lunch. Noticed this restaurant had good r,...",La Pecora Bianca,Nice find!
John S,40,"NH Hotels are a chain of Spanish hotels mostly found in Europe. I have stayed at a few of their hotels in Switzerland and France and found them to be comparable,...",Hotel NH Collection New York Madison Avenue,European style hotel in good location
John S,30,"I live in Columbia and consider myself a foodie. We eat out at restaurants for dinner at least 6 nights a week. Mexican cuisine is one area that Columbia has no,...",Las Margaritas,Not a fan
John S,50,"I went here on my first trip to Delhi several years ago and kind of forgot about it. Went back on my most recent trip this year and remembered how amazing it is,...",Humayun's Tomb,Must visit
John S,50,"I have been to Delhi 10+ times over the past 6 years. On my most recent trip I discovered Lodhi Garden and fell in love. It is a beautiful park with several tom,...",Lodhi Garden,Highly recommend
John S,50,"I go to Gurgaon a couple of times a year for work and always looking for fun restaurants to take employees out for dinner. I just discovered The Clock Tower on ,...",The Clock Tower,Unique restaurant on Golf Course Road
John S,40,"Took my team here for dinner while in Gurgaon recently. Food and service was good, but the ambiance and decor really stood out.  Fun place to take pics with fri,...",The Drunken Botanist,Good for business dinner in Cyber Hub
John S,50,"IU live in the USA but go to Gurgaon a couple of times a year for business.  I always make a point of going here for lunch.  It is my favorite restaurant in Gur,...",Sidewok Restaurant,One of my favorite Asian restaurants in the world!
John S,20,"I went here several times when it used to be in a gas station on the Business Loop. I was excited to see the business grow and move to a full restaurant locatio,...",Taqueria Don Pancho,Not impressed
John S,30,"I have been here several times on different trips to NYC.  It's usually a good option before going to see a Broadway show.  My last visit wasn't that great.  Fo,...",Becco,Not as good as previous visits
John S,30,"Popular restaurant with multiple locations in Manhattan.  Went her for a business dinner and it was a good option.  Something on the menu for everyone.  It was ,...",The Smith,Good business dinner
John S,50,"I go to NYC several times a year for business. I would never recommend staying in Times Square.  It's chaos and full of tourists.  But this Hilton is my favorit,...",Hilton New York Times Square,Glad this hotel is open again
John S,40,Nice dinner with friends on 5th Ave.  We got a table outside on the street and it was a great place to people watch. ,Toscana Grill,Great for people watching
teresatrich,10,"My family of 5 arrived on Friday 5-12, we didn't have a room. We reserved and paid in full in advance for a suite because there were 5 of us (3 adults, 3 kids).,...",The Manhattan at Times Square Hotel,Awful Experience
NorthWalesTraveller,50,"Fabulous breakfast every day.  Lots to choose from, swift service, great prices, lovely food, no complaints whatsoever. The staff were lovely and friendly and h,...",Andrews Coffee Shop,Fabulous
NorthWalesTraveller,50,"Fabulous 4 nights here. Got a room upgrade for my 60th birthday, we were on the 24th floor. Yes the hotel is old, but that adds to the charm. We never had to qu,...","The New Yorker, A Wyndham Hotel",Loved The New Yorker
NorthWalesTraveller,40,"Always fly upper class/business class.  The horrible herringbone seat configuration has put me off Virgin Atlantic flights totally.  Those seats have no privacy,...",Virgin Atlantic Airways,Horrendous herringbone seat configuration upper class
NorthWalesTraveller,20,"I guess all I need to say really is that as a vegetarian, I ordered the vegetarian burger.....I waited ages for it to arrive and when it did, it was a meat burg,...",Applebee's,Not good
NorthWalesTraveller,50,"The hotel was lovely, I have read some comments about not much view from the room, you are in the middle of a busy city...we never expected any kind of view fro,...",Sanctuary Hotel New York,Lovely trip to this hotel
NorthWalesTraveller,50,"Went there today as a pre-birthday treat.  Had a lovely time, the staff could not do enough for us. Prompt service, lovely food and drinks, they brought me a co,...",Las Iguanas - Cheshire Oaks,Brilliant
NorthWalesTraveller,30,"It pains me to write this poor review as we have always had an excellent time here.  Went today for something to eat.  We waited over 45 minutes for our meal to,...",Dinorben Arms,Disappointed
NorthWalesTraveller,50,"I have stayed at the Grosvenor plenty of times and I regularly go there for cocktails.  I planned a visit on 18th September and on that day, unfortunately there,...",The Chester Grosvenor,Is the love affair about to end......
NorthWalesTraveller,40,"Went there today for coffee and cake.  Everything was fabulous, the decor, the staff, the atmosphere but unfortunately the prices for a slice of cake were just ,...",Lovelies Delights,Lovely but prices are too high
NorthWalesTraveller,50,"Booked a cheeky midweek stay at The Chester Grosvenor....when we arrived we were told we had been upgraded to a suite - all I can say is wow !!!   The hotel is ,...",The Chester Grosvenor,Fabulous
NorthWalesTraveller,50,"Just returned from No 7 Palm Beach Condo.  Had a fab time.  The condo was spacious, immaculate with a well stocked kitchen, air conditioning and a lovely balcon,...",Palm Beach Condominiums,No 7 Palm Beach
NorthWalesTraveller,50,"Lovely little place, spotlessly clean, beautiful food, lovely staff and good prices.  Would recommend.",La Bodega Tapas Bar & Restaurant,Lovely
NorthWalesTraveller,30,"Just got back from Sugar Cane.  We are regular visitors to the place and I have to say we really did notice  a big change this time.  We go there because there ,...",Sugar Cane Club Hotel & Spa,Mixed feelings
NorthWalesTraveller,50,"Everything went smoothly, checked in, very helpful and friendly host, gave us plenty of info.  Lovely property, spotless, nice comfy bed, plenty of pillows, dec,...",The Gables Guest House,Superb !
NorthWalesTraveller,40,"Came here for lunch a month ago and loved it so we were keen to go there again.  We arrived around 12.30 today, no table booked but it wasn't a problem, they fi,...",Ristorante Sergio,A little bit disappointed today
NorthWalesTraveller,50,"Back at Sugar Cane again in January 2016 for two weeks.  This time we were in a room that overlooked the rainforest, very private balcony with only the monkeys ,...",Sugar Cane Club Hotel & Spa,Lovely
NorthWalesTraveller,40,"Came here for a bite to eat before going to the cinema.  I had decided that I wasn't going to order anything complicated after a horrendous meal at Chiquito's i,...",Chiquito,Pre Cinema Food
NorthWalesTraveller,50,"Visited this place and made sure to get there at 1.30 so we would be around for the feeding time at 2.  We walked to the gun signal station which has excellent ,...",Barbados Wildlife Reserve,Superb
NorthWalesTraveller,50,"Went here for an 18th birthday party in the private dining room, fantastic evening.  Staff were really on the ball, catered to everything we wanted.   Food was ,...",Oddfellows Chester,Could not fault it
NorthWalesTraveller,20,"Went for a meal on Saturday afternoon, 12th July.  My husband has always said that this place is over priced but the meals are usually nice though, so we don't ,...",Stamford Gate Hotel,Standards have dropped
Gndmwing,20,"Definitely not worth the cost with so many other nice hotels in the area.  Went up to room to find temp 75 degrees.  Turned on AC and waited three hours as th,...","Crowne Plaza Times Square Manhattan, an IHG Hotel",Not as advertised service lacking
Gndmwing,30,"Had a business dinner here during our trip to Chicago.  Host was excited as this was supposed to be the original Morton’s.  Different location as it is in basem,...",Morton's The Steakhouse,Lacking 
Gndmwing,20,"We thought we would pop in as a family for a quick lunch.  It was anything but quick.  Should have been a pretty simple lunch of pancakes, eggs, and toast.  Abo,...",IHOP,Service is Lacking
Gndmwing,50,"I have been coming here since I was a little kid.  Over 30 years of visits and it is amazing how much this place has grown.  It is always a fun visit to see wha,...",Kittery Trading Post,Fun visit
Gndmwing,50,"Every time I come into town I stop in at Bobs and can always rely on a great quick meal.  My go to is always the Lobster roll and it doesn’t disappoint.  The re,...",Bob's Clam Hut,Always quality
Gndmwing,50,"Had the Lobster Roll and it was fantastic.  Food was reasonably priced and the restaurant was clean and simple.  Had an enjoyable evening and to be honest it wa,...",Lobster Claw Seafoods Incorporated,Quick and Easy Dinner
Gndmwing,40,"Food was pretty good.  Wife loved the soft shell crab and sides.  I don’t think there was a crumb left on her plate.  I had the tuna burger which I asked if it ,...",Flagler Fish Company,Great little place
Gndmwing,10,"Worst McDonalds I have ever visited.  App won’t allow me to give 0 stars.  I travel all over the country for work and for me to say this is the worst I have eve,...",McDonald's,Stay as far away as possible
Gndmwing,30,"Needed to make a stop on drive to Houston.  Online it looked ok and overall was ok as check in was smooth and person helping me was great but overall rooms are ,...","Holiday Inn Express & Suites Lafayette-South, an IHG Hotel",Needs Updated
Gndmwing,30,"I was visiting for an event being held at the hotel this week.  I want to say first of that the staff greeting us as we arrived was amazing.  Almost to the poin,...",The Westin Cape Coral Resort At Marina Village,Disappointed in Room Quality
Gndmwing,30,"During my conference we ate at this facility multiple times and with very mixed reviews.  We had a breakfast where our group from Maine ordered the waffle which,...",Red Marlin Restaurant & Terrace,Average food but great view
Gndmwing,50,"I have been too and enjoyed the original Stone Brewing location so I was expecting a lot from this location as well.  It didn't disappoint.  The grounds are ama,...",Stone Brewing World Bistro & Gardens - Liberty Station,Fantastic Grounds
Gndmwing,50,"I regularly take customers to the Keg during my time in Canada and can honestly say they have never let me down.  I took a group of associates to the Vancouver ,...",The Keg Steakhouse + Bar - Dunsmuir,Business Dinner
Gndmwing,30,"I had not been to a Legal C Bar before this visit and was surprised by the small menu offering and the fact that they don't actually offer a Lobster roll. For g,...",Legal C Bar - Lynnfield,How do you run out of Crab??
Gndmwing,30,"I stay at a lot of IHG properties and the Crowne is usually one of their better hotels but in this case it looks as though it has just gone through a poor updat,...",Wyndham Sacramento,Not the usual Crowne
Gndmwing,30,"My family and I stayed over Thanksgiving and while the location and hotel are nice the beds are terrible.  For me the beds are pretty important as that is what ,...",Hilton Garden Inn Rapid City,Just OK
Gndmwing,20,"I have family in Maine and know what a lobster roll is about.  I went here with the intention of getting a lobster/shrimp roll and remember a bad experience I a,...",Bayhouse,Lousy Food
Gndmwing,20,"My family and I had dinner here and found the food to be sub par.  They also had very little servings on the buffet probably to control waste but when one perso,...",Four Seas Super Buffet,Not The Best
Gndmwing,30,"I am currently attending a convention and staying at the Hyatt Regency.  I will admit the grounds and restaurants are fantastic as well as the meeting rooms. Th,...",Hyatt Regency Coconut Point Resort and Spa,"Beautiful Facility, Great Customer Service, Paper Thin Walls"
Gndmwing,50,"The food and view at Coconut Jacks is fantastic.  When you pull in you will be amazed at how many people are waiting and how many cars are being parked thinking,...",Coconut Jack's Waterfront Grille,Amazing view and food
Linda S,10,"Absolutely horrible.. it’s such a old hotel … the restaurant is absolutely awful… run by kids .. the rest room was awful dirty … dirty dishes outside the toilet,...",Warwick New York,Warwick awful hotel
travelgal1994,50,"Never visit NYC without stopping in this Library. Its magnificent to see, the architecture, you have seen in on tv or in movies. Its well maintained, the people,...",New York Public Library,Beautiful a must visit
travelgal1994,50,"Love the flowers on the steps, so welcoming and the open doors and how we could just sit and be in peace in this place. I have seen the little tour on Fox, was ,...",St. Patrick's Old Cathedral,Stunning
travelgal1994,50,"Memorial well done.. do not take selfies here please.. its a memorial, not something to post on your social page. Be reverent  of those who were lost and rememb,...",World Trade Center Memorial Foundation,Beautiful.
travelgal1994,50,"Had no idea what we had signed up for. We laughed at the footies we had to put on our shoes! The little face tracing event was hilarious. After a lot of waiting,...",SUMMIT One Vanderbilt,Must do this!
travelgal1994,50,"Every time I see this, its new. The names, the quietness, the trees. AND thankfully the lack of selfies being taken. Its such a beautiful reminder of what we ha,...",World Trade Center's Liberty Park,Beautiful memorial.
travelgal1994,30,"A few years ago, we went here and had such fun... there was NBC ""news desk"" to see and so much other fun things.. and the little movie about the skyscraper bein,...",Rockefeller Center,Disappointment
travelgal1994,40,"Lovely Park, needs more info as to what its about.. and trash picked up... I can say I love that its right by the Library and has food options. ",Bryant Park,Interesting Park
travelgal1994,50,"OK walk to Time's Sq, walk down Broadway, imagine the parade, the packed sidewalks at NYE.. its all there.. and not something to miss especially at night.",Broadway,ITs still something to see
travelgal1994,40,"OK, so I have driven over this bridge, never walked it, so this trip we did... sort of. There are too many odd vendors on the bridge, too many people hopping up,...",Brooklyn Bridge,Walk The Bridge
travelgal1994,30,"This is a historic part of NYC, and I do not understand why no one who works there can tell you something about this incredible building. Its seen so much in it,...",Grand Central Terminal,"No History known here, but still remarkable"
travelgal1994,40,"Great location! Felt safe walking at night.Incredible staff very kind and helpful!Rooms a bit tight could get rid of the division wall thingy. Needs some lovi,...",Embassy Suites by Hilton New York Manhattan Times Square,Great location… needs a bit of an update!
travelgal1994,50,"What a delicious place for lunch or dinner! It’s a chef owned restaurant where the chef is on the floor at times checking on you! The waitstaff is excellent! Fo,...",Serrato's Steakhouse,Delightful find!
travelgal1994,50,"Finally got to enjoy dinner here with friends! The atmosphere is so delightful! The service was superb! Food the best!Lovely wine and dessert! Loved the atten,...",Serrato's Steakhouse,Locally owned beautiful atmosphere amazing food
travelgal1994,50,"Based on the famous place de la Concorde, 30 acre park with stunning fountain. Ordered from a catalog, one of 3, (NY, France,Peru) is over 150 years old! The pa,...",Forsyth Park,Beautiful place in the city
travelgal1994,50,"Loved this experience!!! We had the best guide! And Jim was so sweet pulling us around! Loved the stories the fun tales and having things pointed out that we wo,...",Charleston’s Old South Carriage Historic Horse & Carriage Tour,Loved being with “Jim” and his guide!
travelgal1994,30,"Ok first of all we were greeted with some nice ladies who helped us park and get tickets. We walked to the bus area and was told to get the next one even though,...",Hop-On Hop-Off Sightseeing Trolley Tour of Savannah,Rough start ends well
travelgal1994,40,"Walked and did a hop off and on bus. Beautiful squares in the historic area. Sad to see the homeless there this visit. But they did not approach us. Walkable ,...",Savannah Historic District,Beautiful walkable
travelgal1994,40,"Good location very walkable. Close to City Market area. Generous size room. Would love to see it updated in the rooms. Very nice staff.The parking is overpri,...",SpringHill Suites Savannah Downtown/Historic District,Good location
travelgal1994,50,"Cemeteries interest me. It’s past lives remembered by a monument. So many different monuments and dates from decades ago to more recent. There were far too many,...",Bonaventure Cemetery,Beautiful peaceful experience
travelgal1994,50,"Beautiful creation of God. Was so peaceful here. We met an artist who gave us great information. Enjoyed walking around this fabulous Angel tree and taking phot,...",Angel Oak Tree,Beautiful to see
Heather R,40,"Great, casual vegetarian.  We were looking for a quick bite before a show at the Lincoln Center.  We had the assorted hummous plate and Shakshouka. Both were de,...",Hummus Place,Yummy hummous- plus!
Heather R,30,"Sketchy location.  (Better to stay east of 5th Avenue on 39th).  Staff is wonderful and helpful. Rooms are average.  Although they have kitchens you’d have to s,...",Element New York Times Square West,Meh.
Heather R,30,"We ate at NOMA in Feb. 2019 and I couldn't wait to return this year.  Unfortunately things have changed.  It's no longer a cool, funky restaurant with innovativ,...",NOMA Restaurant and Events,"Edgy, innovative restaurant turns staid and traditional"
Heather R,50,"Great fresh food.  Lots of veggie choices and lovely staff.  You can tell the care that a chef puts into his or her dishes when you get a side salad with delici,...",Selam Restaurant & Lounge,Great Ethiopian friendly vibe
Heather R,40,"We were staying in Perissa Beach and took a cab to the site. We felt it was well worth it. Very interesting. We were initially frustrated by the bus tours disgo,...",Akrotiri Archaeological Site,Fascinating but download an audio guide
Heather R,30,"Not sure why people rave about it.  Same old.... chips, skewers, standard lower end taverna fare.  I ate here because of the exceptional reviews and it was fine,...",Cyclades Tavern Restaurant,OK. Nothing special.
Heather R,20,"Iin all fairness I have not eaten here in about 3 years.  My in-laws in Deerfield Beach LOVED this restaurant. We found the line-ups horrendous and the food ver,...",Orchids Garden,Great if you are cheap and/or over 80
Heather R,40,"So happy to find a local Italian restaurant with authentic Italian ambience.  My husband and I shared a salad, rigatoni and ravioli and all were wonderful.  Sta,...",Nove Trattoria,New Eglinton Location a great find
Heather R,40,"What a treat! We were pleasantly surprised by the delicious, fresh food, welcoming staff, cleanliness and modern ambience.  A great mid -priced kosher find and ,...",Good Morning Vietnam,Great Kosher Vietnamese
Heather R,50,"Just wondering if I post here if anyone knows -- I'd like to get an ARTicket -- it seems worth it for the Picasso, Joan Miro and Catalan Art Museums which I'm p,...",ArticketBCN: Barcelona Museum Pass,How does ARTicket work with an adult and a student?
Heather R,40,"Pros:great location. 5 min to train station, 2 minutes to beach. Great breakfast. Simple room but no a/c or television (don't need either). Nice patio area outs,...",Hotel 5 Terre,Nice simple hotel. Beware cancellation policy
Heather R,50,"We stayed three nights in this hotel at the beginning of a trip to Portugal then booked an additional night at the end of our trip. It's in a great location -- ,...",BessaHotel Liberdade,Great Hotel Well Priced
Heather R,40,"It took us a couple of days to adjust to the hotel as it's a wee bit ""old fashioned"". The furnishings are not modern and the rooms are small but the service and,...","Reid's Palace, A Belmond Hotel, Madeira","Beautiful Hotel, Great Grounds -- Stuffiness Appreciated"
Heather R,50,"We rented bikes for the day -- what fun -- rode to Hertzaliya and on the way back diverted through Hayarkon Park. It was huge with great bike trails and walking,...",Yarkon River and Park Hayarkon,Park Hayarkon worth a bike ride
Heather R,40,"We heard great things about the Mt.Zion hotel and were impressed with its reasonable rate. There were some great things about it and also some ""not so great"" bu,...",Mount Zion Hotel,"Average Rooms, Spectacular Grounds"
Heather R,50,"My husband, 13 year old son and some relatives had a fantastic meal at this wonderful restaurant in the Sarona area of Tel Aviv.  The atmosphere is very relaxed,...",Piazza Rustico,"Terrific foo, great staff and atmosphere"
Heather R,50,"Just discovered this great spot on Dizengoff. Since it's Passover the only bread they prepare is matza rolls for their delicious sliced meats and we were surpri,...",Meat-Pack,Great quick meal and Kosher for Passover
Heather R,50,"We were looking for a great restaurant with authentic Roman food our last night in Rome. Fortunata was recommended to us and did not disappoint. Tucked away jus,...",Osteria da Fortunata - Pellegrino,"Delicious meal, excellent service"
Heather R,50,"Took an evening tour with dark rome/city wonders. Well worth it as it was cool and not also we had an opportunity to go beneath the main floor and see the stagi,...",City Wonders,Evening tour well worth the $
